[ -2990, 13963, -2300, 18535, 32022, 21200, -2072, -11141, -7170, -7677, -16657, -14305, -1732, -4732, -18956, -11334,  ]
[ 7712, 33467, 332, 11653, 20592, 18346, -5555, -20163, -20765, -21975, -32475, -18656, 12755, 20076, -3104, -6524,  ]
[ 11743, 42233, -5581, 3630, 10127, 7553, 2864, -5814, -11577, -11468, -11960, 171, 23229, 31132, 7901, -4439,  ]
[ 10263, 37446, -7154, 4726, 14306, 2118, -3135, -2440, -12029, -15723, -9234, -3000, 15176, 27208, 3638, -8528,  ]
[ 17080, 52068, 21396, 30989, 30375, 12344, -13815, -20103, -30380, -33667, -25300, -13467, 5633, 15926, -3077, -8440,  ]
[ 11434, 40269, 29064, 63509, 93135, 72872, 25689, -341, -7962, -10231, -12106, -7292, 3827, 3945, -8530, -10245,  ]
[ 8330, 35017, 15557, 55347, 100301, 129417, 94188, 37226, 5345, -3516, -5172, -1776, 3076, 322, -11435, -11378,  ]
[ 13164, 41300, 16422, 30574, 85829, 132052, 131833, 90895, 57166, 38466, 24472, 15314, 10124, 3955, -8634, -9371,  ]
[ 16363, 51578, 22255, 2245, 25778, 103168, 125308, 78288, 44253, 46354, 56310, 48221, 25897, 7908, -7562, -12654,  ]
[ 9133, 45279, 18173, -20262, -13620, 27886, 49770, 37944, 25589, 36138, 45036, 26367, 3751, -4507, -13727, -19470,  ]
[ 22488, 46138, 7522, -21629, -28729, 2164, 26983, 35924, 27538, 46959, 66140, 59335, 39423, 31342, 2721, -21970,  ]
[ 6897, 31762, -15899, -28871, -24049, -9283, -12052, -6288, -8627, 8944, 28032, 44651, 42080, 33203, -1038, -19842,  ]
[ 1256, 43570, 2049, -12008, -15936, -13297, -10571, -7898, -5273, -5633, -4070, 1658, 3836, -8950, -31137, -16981,  ]
[ 2967, 45629, 27782, 8360, -1884, -1676, -2067, -1458, 3895, 1700, -5501, -7321, -19674, -29641, -25387, -1722,  ]
[ -478, 36574, 32621, 18345, 10851, 14854, 16827, 17581, 16595, 13088, 6924, -5416, -25423, -27711, -25809, -10977,  ]
[ -5753, 15622, 14285, 6451, 982, 2403, 3062, 2980, -36, -586, -5195, -15191, -28172, -28701, -19040, -4832,  ]
[ -28489, -29774, -24657, -24922, -30198, -33017, -32127, -33103, -33216, -33841, -33407, -32129, -27380, -27780, -28528, -15292,  ]
[ -45127, -46784, -36533, -43726, -58053, -61238, -59734, -60643, -62107, -62793, -57739, -51579, -47544, -38026, -39524, -23374,  ]
[ -50614, -50988, -35878, -47592, -62646, -66550, -66255, -66458, -72156, -73832, -67505, -55707, -51756, -45952, -39861, -24608,  ]
[ -46931, -43435, -27889, -41018, -49571, -52950, -55059, -56760, -61231, -59933, -54620, -43562, -36856, -38522, -37831, -19506,  ]
[ -42944, -38613, -30676, -41644, -48639, -51144, -54466, -52449, -51349, -53199, -51039, -42467, -36699, -36586, -39200, -20481,  ]
[ -48186, -45426, -46076, -58582, -61576, -51349, -49141, -46902, -44841, -45569, -45433, -41112, -39327, -41156, -39685, -20608,  ]
[ -45256, -42477, -47670, -57306, -66938, -68106, -48861, -40033, -40030, -40595, -38888, -38724, -40564, -42842, -39266, -20592,  ]
[ -43137, -37315, -43279, -51269, -63640, -77602, -67952, -48213, -38414, -36813, -38624, -40663, -40823, -39310, -36059, -19970,  ]
[ -45110, -43380, -38043, -36612, -55155, -78140, -80162, -69249, -59690, -61838, -60290, -54760, -44413, -38975, -34448, -18371,  ]
[ -45440, -48378, -46122, -42517, -56987, -81296, -74738, -76231, -77612, -79754, -87399, -88412, -76015, -57830, -40722, -18585,  ]
[ -44683, -42397, -40840, -38967, -42480, -59140, -66145, -65020, -60057, -58645, -72795, -82372, -76741, -65416, -48095, -20696,  ]
[ -54383, -58542, -68197, -67526, -69345, -71693, -70693, -64766, -67140, -64047, -72118, -73897, -66058, -62813, -52545, -33735,  ]
[ -55688, -71630, -79120, -74745, -71695, -69403, -73728, -70538, -67459, -66405, -68814, -69901, -76180, -80170, -67567, -41270,  ]
[ -52607, -72607, -74414, -75927, -73467, -72869, -71288, -69098, -67390, -64167, -62795, -65125, -64674, -61280, -55572, -41127,  ]
[ -40379, -53025, -52590, -50025, -47737, -46316, -45536, -44763, -44177, -43766, -44230, -43756, -44241, -49427, -46436, -38351,  ]
