[ 11850, 7259, 5738, 11853, 13389, 16149, 14413, 13984, 14671, 14582, 13787, 11024, 9227, 7832, 2455, 1554 ]
[ 6111, -1193, -1817, 1520, 8023, 10473, 7648, 7115, 12507, 16537, 16929, 13775, 10891, 9317, -7769, -9759 ]
[ 9573, 1769, -12704, -21696, -14006, -2677, -1272, -1941, 616, 5625, 6641, 4394, 2887, 3938, -3813, -6534 ]
[ 12426, 3366, -15141, -12386, 3934, 11472, 17729, 20225, 17544, 17893, 17264, 9888, 5187, 1971, -6339, -6259 ]
[ 14493, 9177, 1263, 9351, 25512, 26287, 24729, 27333, 28166, 25878, 23934, 18347, 6339, 6035, -6910, -5961 ]
[ 13947, 14531, 21119, 25870, 30411, 20746, 9055, 5284, 4445, 3490, 3290, 3674, 1726, 2735, -5057, -5863 ]
[ 9482, 108, -2195, 17537, 23915, 29225, 28185, 12986, 2638, 346, 1036, 1313, 3220, 3419, -6249, -6127 ]
[ 7548, -7687, -25791, -26852, 3045, 13423, 24409, 33851, 32470, 22105, 11909, 6678, 4288, 3525, -6949, -6393 ]
[ 9034, -2581, -18501, -38335, -33906, -12349, -397, 505, 15968, 30535, 35887, 36672, 28815, 17503, -295, -4876 ]
[ 8539, 3761, -1077, -22537, -39401, -14236, 11884, 7552, 2343, 10854, 18612, 28541, 20989, 12799, -1509, -4250 ]
[ 21971, 23486, 19922, -3093, -19820, -733, 25821, 24234, 12513, 13603, 10750, 17057, 16286, 10058, 2720, -1176 ]
[ 17015, 17736, 15384, 4134, -4391, 2286, 16458, 15241, 33, 219, 6964, 14893, 18399, 13071, 5988, 3628 ]
[ -197, 2331, -1400, -6559, -12251, -14389, -9921, -12095, -13889, -11260, -11916, -7439, -8946, -5757, -10168, -7518 ]
[ 1082, 4017, 1107, -2081, -2444, -2081, -2303, -4182, -5509, -7848, -9577, -11434, -8440, -7983, -5388, -3037 ]
[ 1477, 4484, 1504, -616, 797, 3977, 6549, 6027, 5924, 5202, 3381, 3567, 5848, 11570, -2753, -9022 ]
[ -4268, -3330, -1097, -1851, -2425, -2824, -2337, -2351, -1918, -2352, -3354, -5010, -4114, -19495, -29264, -16199 ]
[ -9131, -18688, -5901, -14334, -16583, -6275, 2623, 3451, 4306, 5837, 2634, -1779, 907, 3030, -1352, -12702 ]
[ -8226, -24179, -15932, -23207, -27022, -23275, -15637, -12525, -12849, -13048, -17269, -20034, -14989, -11137, -4885, -10815 ]
[ -8409, -23197, -8016, -8480, -6299, -3780, -1018, -2732, -2335, -7284, -8999, -13646, -18770, -11242, -5165, -4966 ]
