[ 3958, 13880, 36714, 59471, 41281, 27814, 15700, -5135 ]
[ 20558, 12839, -17174, 14591, 17738, 15284, 21687, 16608 ]
[ -1301, -21887, -44536, 21464, 2823, -21998, -20231, 1767 ]
[ 10996, 3575, 63447, 56578, 64252, 61441, 51904, 21873 ]
[ 52502, 18663, 93817, 75579, 89439, 78002, 49713, 18576 ]
[ 79492, 41844, 30502, 24184, 63643, 80848, 76251, 47284 ]
[ -2477, 21129, 1776, -15865, 25566, 32167, 34208, 39544 ]
[ -34588, -21835, -284, -10227, -7893, -28116, -13042, 41126 ]
[ -18411, 39553, 28495, -15972, 801, -9194, -28674, -27993 ]
[ -33455, 8425, -3493, -19640, 8245, 6582, -16287, -10243 ]
[ -64266, -55501, -33773, -11645, 6294, -24546, -24937, -10720 ]
[ -38317, -19770, 41679, 12804, 18819, 14995, 5144, -10923 ]
[ -8953, 75700, -549, 25512, 105088, 81989, 40496, -8104 ]
[ -3050, 39767, -11026, -59215, 60373, 36583, 48476, -3201 ]
[ -46138, -26106, 6969, -5467, 49384, 60122, 66340, 10203 ]
[ -43776, 8559, 40958, 26268, 25949, 30319, 17814, 349 ]
[ 9812, 2750, 21288, 22274, -2847, 16859, 36038, 23219 ]
[ -47, 8190, 33623, 13864, 9238, 44920, 60567, 12632 ]
[ 12969, 27141, 46301, -1982, -31399, 38724, 49134, 10094 ]
[ -18935, -26149, -16327, -11970, -12675, -10, -11631, -9463 ]
[ -51464, -78015, -22709, -16421, -41903, -3874, -1920, 14785 ]
[ -37230, -50864, -25917, -1142, -48695, -22808, 3605, 22178 ]
[ 62360, -4889, -31024, -42876, -68004, -86443, -36039, 11562 ]
[ 82965, -10534, -12610, -9892, -1950, 3728, 24785, 58558 ]
[ -9435, 10554, -22542, -13497, -11919, -10475, -15229, -3907 ]
[ -21769, -1167, -1066, -33889, -40989, -19182, -19527, -2245 ]
[ -31146, -22905, -20003, -57342, -22941, -2204, 3830, 2482 ]
[ -36116, 17259, 591, -78422, -67921, -28589, 2005, 12394 ]
[ -10659, 44023, 279, -101, -18239, -22612, -7379, 19231 ]
[ -14335, 48601, 31094, -223, 4814, -14520, -58808, -11147 ]
[ -23469, -21874, -12403, 9795, 29384, 36267, -4613, -8558 ]
[ 30034, 58570, 27847, 24947, 19763, 14442, -15809, -15427 ]
[ 21352, 23247, 14080, -3774, 7466, 45203, 24484, 5069 ]
[ 5238, 6423, -12127, -73347, -67904, -8106, 21902, 25654 ]
[ 2119, -20454, -87443, -136690, -118247, -60939, -33368, -6079 ]
[ 57706, 24309, -67044, -139300, -102011, -67374, -32684, 17852 ]
[ 9631, 54422, 170247, 27233, -47870, -73835, -77701, 26146 ]
[ -32979, 9032, 8165, -45593, -33448, -60267, -107885, -5512 ]
[ 3705, -8174, -2202, -29215, -45076, -37250, -70503, 18040 ]
[ -16860, -37020, -32741, -38371, -42040, -73248, -54743, 37280 ]
[ 15074, -6370, 7410, 18479, 16312, 7883, -15121, 9551 ]
[ 59175, -5082, -3509, -4810, -20303, -36542, -25255, 27588 ]
[ 58943, 28135, 3042, 10055, 3451, -47114, -26749, 23886 ]
[ 94398, -22052, -10408, -40586, 35787, 26502, 45618, 59409 ]
[ 125138, 53910, -10800, 100201, 45704, 48705, 66776, 70963 ]
[ 69984, 54748, 26730, 37095, 7212, -21070, -5387, 22433 ]
[ -16679, -80908, -121329, -126194, -124667, -131460, -54066, -17032 ]
[ -45224, -94976, -78911, -74601, -66546, -11053, 9509, -600 ]
[ 26943, 2710, 21283, 55900, 17898, 13078, 3639, 15500 ]
[ 78632, 25508, -32132, -23208, -55086, -45739, -4010, 31814 ]
