[ 7065, -10936, -25878, -31270, -34661, -11431, 3592, 20167 ]
[ 1645, -3566, 8303, -25554, -24647, 9036, 24675, 20131 ]
[ 4156, 4603, -5529, -27012, -8770, 36994, 20367, 11701 ]
[ 18513, 14834, 3077, -62381, -63788, -48137, -38718, 9217 ]
[ -9044, 11842, 52717, -14927, -23364, -30790, -30088, 19100 ]
[ -36021, -3381, 10821, 4361, -6760, -31453, -54616, -8523 ]
[ 27944, 6031, -8421, -1368, -3844, -15416, -21435, 19659 ]
[ 47506, 19108, 5895, 5642, 7128, -1518, -1263, 23976 ]
[ 17986, 44778, 60630, 41570, 48483, 69644, 56048, 18993 ]
[ 10646, 32525, 14231, 17596, 19674, 47196, 54509, 25364 ]
[ 11358, -360, -36650, -11229, -640, -886, 13781, 10179 ]
[ 30172, 71777, 33883, 18723, 18130, 37346, 55724, 39926 ]
[ 33988, 123730, 171492, 84275, 111111, 78335, 53258, 56513 ]
[ 13379, 29069, 58621, 2425, 65801, 35490, 26743, 69659 ]
[ 7351, 40445, 60296, 17212, 32815, 38221, 36740, 66202 ]
[ -20244, 14396, 46324, 32433, 35057, 33890, 42670, 61983 ]
[ 9443, -7416, -243, -12054, -22251, -16777, -13411, -4284 ]
[ 29497, 16384, 12188, -41844, -20245, 6568, 26307, 15383 ]
[ 32763, 40997, -2838, -86283, -72816, -44239, -12719, -4373 ]
[ 50133, 36120, 10240, -39181, -32286, -9092, -8170, 6702 ]
[ 42532, 7504, 91185, 27881, -30519, -16472, -30881, 14237 ]
[ 21630, -18807, -22880, -22675, -45628, -33601, -81536, -22466 ]
[ 35334, -11280, -20024, -43771, -41538, -33485, -20259, 21561 ]
[ 4280, -28309, -21036, -19901, -21097, -32429, -16007, 27790 ]
[ -8995, -8308, -4712, -36170, -34249, -33230, -32566, -31431 ]
[ 22408, -6670, 23285, 1409, 13800, 10612, 8789, -12666 ]
[ 36232, 24436, 26760, -11298, -6466, 1927, 627, -17290 ]
[ 18646, 4751, 79205, 37084, -9035, -15706, -37483, -40827 ]
[ 49119, -35447, -12084, 63591, 18141, 38515, 11935, -28691 ]
[ 53223, -46487, -20562, 26518, -11719, 12927, 17792, -17350 ]
[ 51952, -27183, -62431, -40321, -39049, -30961, 3112, -11668 ]
[ 58333, 24891, 9691, 16539, 17794, 19048, 19663, 21649 ]
[ 9941, 31389, 36163, 38895, 38720, 34927, 18757, -67 ]
[ -9642, -846, -11284, -2262, 9147, 8847, -8498, -9222 ]
[ -23324, -31254, -10450, 11685, -15795, -26793, -25696, -10893 ]
[ -19845, -40019, -36955, 39590, 40596, 29165, 12221, -3492 ]
[ 6834, -18105, -81412, -66708, 24359, 19911, 13089, -6620 ]
[ 14936, 48481, 11392, -33091, 35823, 21424, 47681, 25469 ]
[ -23670, 10084, 26330, 18724, 18675, 14164, 621, -2500 ]
[ -17247, -13497, 9975, 9407, 8215, -1715, -1417, -8285 ]
[ -1962, -5038, -24853, -6839, 6899, -13063, -16467, -20170 ]
[ -3156, -25483, -40184, -115, 1155, -23871, -7455, -9175 ]
[ 3072, -1453, -35901, -18324, 3603, -23304, 3055, -5414 ]
[ -6694, 37430, -21285, -27230, -3013, -18028, 10400, 3972 ]
[ 9124, 36072, -55107, -27848, -41253, -24295, 10472, -7352 ]
[ 25925, 21202, -42657, -6592, -49708, -20839, -5866, -21376 ]
[ -14613, -32964, -11251, -10563, 2876, 32359, 19377, -28610 ]
[ 14408, 41565, 43094, 35848, 31488, 42222, 11385, -32955 ]
[ -14379, -23681, -1788, 4375, 19159, 14794, 18655, 13497 ]
[ -13304, -18051, -11400, 36279, 46757, 27904, 7669, -2226 ]
[ -11258, -4355, 31683, 52182, 48659, 54723, 31603, 12193 ]
[ -32105, -33428, 100968, 74254, 31915, 10429, 5126, -8854 ]
[ -21746, -68556, -35200, 11728, 40370, 33078, 26413, 1691 ]
[ 34170, 37134, 43277, 49179, 87552, 65913, 81705, 46676 ]
[ 19846, 82486, 97097, 95558, 107232, 100150, 67422, 38119 ]
[ 27294, 54714, 34454, 40556, 33437, 19570, 14796, 6287 ]
[ 4755, -14703, -6539, 10305, 14382, 10481, 10566, 1262 ]
[ -256, -26685, -4126, 32687, 27506, 20039, 2986, 918 ]
[ -7231, -15970, -23592, 31526, 43535, 23777, -9131, -1972 ]
[ 17851, -23186, -10043, 43452, -6534, -22329, -21737, -8604 ]
[ -416, -26054, -89887, -50176, -33995, -21355, -21547, -14689 ]
[ 25443, 23790, 27276, 40261, 14690, 28140, 34494, 13321 ]
[ 26533, 75955, 68148, 80613, 66357, 52386, 13127, 16224 ]
