[ -20859, 7369, 18675, 29839, -20526, -27462, -12681, -18311 ]
[ -24117, -6586, -5014, 33686, -1761, 13165, 16623, -17962 ]
[ 37619, 72727, 25223, 44579, 30352, 3396, -26060, -18422 ]
[ 29949, 56193, 17590, 19989, 21332, 11590, 997, 16378 ]
[ -179, 17627, 27923, 43568, 42904, 30442, 10465, -2334 ]
[ 21934, 31790, 36037, 70016, 47850, 18234, -12086, -5640 ]
[ 26317, 2302, 23706, 85301, 45443, 5280, -680, 3152 ]
[ 36974, 55223, 37432, 60056, 47882, 33742, 48749, 24048 ]
[ 53444, 138804, 79801, 118589, 74828, 42769, 68014, 21448 ]
[ 30533, 73881, 45515, 77809, 85398, 39597, 60873, 24077 ]
[ 5503, -5934, 10081, 8059, 36563, 54097, 60661, 10023 ]
[ 10230, 23774, 13302, 13640, 23049, 49329, 59019, 33189 ]
[ 460, 29579, 45079, 62482, 37598, 23049, 18739, 2517 ]
[ 15665, 23195, 45648, 52457, 39465, 10139, 6025, 15744 ]
[ -6181, 13398, 54030, 62766, 27897, 4474, -8333, 5152 ]
[ -19791, -33898, 17401, 81584, 76163, 60584, 34596, 23981 ]
[ 16514, -4980, -33533, 37125, 71695, 75963, 63650, 33445 ]
[ 28646, 25150, -18893, -25702, 8787, 41200, 56988, 20158 ]
[ 7073, 28574, 18369, -1738, -19489, -19126, -17102, -13754 ]
[ -45161, -58897, -47098, -35477, -24754, -11387, 2870, -278 ]
[ -40979, -28144, -7085, -22805, -34568, -24166, -25365, -14454 ]
[ -56509, -41918, 10945, 23025, 24963, 42578, 5626, -26237 ]
[ -50218, 5932, 75577, 73918, 36334, 38287, -7830, -34456 ]
[ -33594, 20116, 104459, 126696, 49089, 18647, -36389, -41697 ]
[ -55570, -94213, -13122, 36797, 34603, 7222, -25677, -18348 ]
[ -14026, -9315, 49142, 87345, 109081, 110344, 78956, 39171 ]
[ 37288, 94253, 99722, 120710, 146928, 126289, 83393, 54581 ]
[ 43888, 66598, 85478, 89540, 93307, 88968, 75393, 61627 ]
[ -9643, 7024, -28351, -52350, -47666, -51335, -31639, -6715 ]
[ -2265, 21338, -6562, -3462, -9349, -9786, 13348, 11488 ]
[ 10002, 6507, -91900, -88962, -54259, -53602, -25140, -8631 ]
[ 1544, 88360, 60998, -67725, -69194, -77907, -48786, -9168 ]
[ 503, 54736, 165637, 82884, 53364, -37788, -78664, -17150 ]
[ -20485, -64887, -22349, -37492, 34932, 25754, -37065, -28774 ]
